latitude,longitude,AIQ
33.70824904499158,-118.28698521666094,80.96556966517602
33.71911861020897,-118.32302125269696,73.54487648374503
33.71911861020897,-118.31401224368796,75.44730214272612
33.71911861020897,-118.30500323467895,75.56176380950635
33.71911861020897,-118.29599422566994,75.67622547628659
33.71911861020897,-118.28698521666094,80.00926790600298
33.71911861020897,-118.25094918062491,74.36775782310517
33.729988175426364,-118.35004827972398,66.4715249490934
33.729988175426364,-118.34103927071497,69.80512580747728
33.729988175426364,-118.33203026170597,71.2137931174785
33.729988175426364,-118.32302125269696,72.58756906222875
33.729988175426364,-118.31401224368796,72.75119284040555
33.729988175426364,-118.30500323467895,72.15589327258911
33.729988175426364,-118.29599422566994,73.33781210418914
33.729988175426364,-118.28698521666094,79.69048089395376
33.729988175426364,-118.27797620765193,78.94492743846293
33.729988175426364,-118.26896719864293,78.19937398297209
33.729988175426364,-118.25094918062491,77.60729270548302
33.729988175426364,-118.24194017161591,80.18823151240856
33.740857740643754,-118.377075306751,60.1902083372149
33.740857740643754,-118.36806629774199,63.98650198819443
33.740857740643754,-118.35905728873298,65.42581120045668
33.740857740643754,-118.35004827972398,66.61498131945721
33.740857740643754,-118.34103927071497,67.80415143845775
33.740857740643754,-118.33203026170597,68.99332155745827
33.740857740643754,-118.32302125269696,70.94035081415863
33.740857740643754,-118.31401224368796,74.35892050707048
33.740857740643754,-118.30500323467895,71.22197133387188
33.740857740643754,-118.29599422566994,72.72866712844063
33.740857740643754,-118.28698521666094,79.57704143298447
33.740857740643754,-118.27797620765193,78.62614042641371
33.740857740643754,-118.26896719864293,77.88058697092286
33.740857740643754,-118.25995818963392,77.13503351543204
33.740857740643754,-118.2329311626069,75.92815422563653
33.740857740643754,-118.18788611756187,67.49747012495673
33.751727305861145,-118.40410233377801,55.211255819474985
33.751727305861145,-118.39509332476901,57.07870564872728
33.751727305861145,-118.38608431576,57.621103907954975
33.751727305861145,-118.377075306751,61.29792678175971
33.751727305861145,-118.36806629774199,62.12835241538637
33.751727305861145,-118.35905728873298,63.205339640436456
33.751727305861145,-118.35004827972398,64.39450975943699
33.751727305861145,-118.34103927071497,65.58367987843752
